,title,status,pros,cons,review,rating
901,Good working environment with a cost,Software Development Engineer Intern(Former Employee),,,Very good overall experience in terms of learning but the amount of work can be seen everywhere and it eats up most of your weekends.,4.0
902,Productive and fun workplace with Foosball!!,Software Development Engineer Intern(Former Employee),,,"Meaningful work with significant applicationsA customer-centric mentality that drives the company's vision and workGreat open and casual culture that lets you see into the company and have a relaxing time doing itHelpful mentorship programs that offer guidance and friendshipThe opportunity to be in an environment of many bright, talented people (both interns and full timers) and learn from themVarious perks, like good pay, opportunities for full time if you're interested, free cereal (though I think that's just my team), Amazon employee discount",5.0
903,SDE Intern at Amazon,SDE Intern at Amazon(Former Employee),Don't Expect anything,,"Overall experience was poor, unstable team with undefined team responsibilities. Overall my team lacked the capability of identifying value in my internship project. Too unstable team hierarchy multiple managers resigned during my tenure. Final review was not satisfactory.",1.0
904,Lot of work & opportunity to learn,Software Development Engineer(Current Employee),,,"Has a hectic schedule, but you get to learn a lot too.Open work culture.Work hard, play hard conceptNot sure about management as muchping pong table and other fun activities in the office.",4.0
905,It all depends on the team you join,Software Development Engineer(Current Employee),,,Amazon was my first job. It was a good experience but there was a lot of politics in my team. Get used to people leaving all the time.,2.0
906,Amazon is a great place to work,Senior Data warehouse Engineer(Current Employee),,,Amazon provides great challenging career. There are great people to work with. Always the workplace demands more. This job is as big as someone can do.,5.0
907,"Big, but still agile and entrepreneurial",Biz Dev(Current Employee),"Customer obsessed, entrepreneurial",None really come to mind,"One of the area's largest employers yet behaves in many respects like a small, dynamic company. Encourages and rewards employee contribution to improvements in all facets of the organization.",5.0
909,Awesome work Culture,Software Development Engineer Intern(Former Employee),Learning curve is good,Team engagement is less,"Really Clean Code. A lot to learn.Most of the day you would be designing the feature, developing it and testing it.Co-workers are really helpful.",5.0
910,The best place to work at,SQA Validation Engineer(Former Employee),Almost everything,no free food,"Everything is great at Amazon Lab126 - they don't care if you contractor or intern, they welcome you as one of them. Management is great also, considering how much time they spend on all important meeting - they still have time to chat with you and ask if everything alright. Just awesome place!",5.0
911,Good place to work,OBIEE Developer(Former Employee),,,This company offered me a lot with regards to my field of work. Even though my time with Amazon.com was short I was able to learn so much within the short period I was with them.,5.0
913,Amazon is a great place for an engineer to learn and grow,Senior Software Engineer(Current Employee),,,"That is still true. However, over the last few years management has lost its way. Amazon's previously stellar culture has become something more akin to Microsoft's. It is a sad thing to see.",3.0
914,I tested first KINDLE,"Software QA Engineer, Lab126(Former Employee)",Compensation,product was bad... Linux device with keyboard,"5 senior QAs were hired for 3 month before the first Kindle release and nobody got an offer...The compensation was OK, product was bad...Linux device with keyboard",3.0
915,Fun place to work with a lot of advanced tech,System Reliability Engineering(Current Employee),"Salary, technology, smart people, opportunity to lear new things","frugality in everything, no parking, overcrowded restrooms","A lot of smart people. Definitely a good experience. My favorite part is mentorship: define the area that you'd like to improve, find the mentor  and work hard to excel yourself.",3.0
916,Amazing place to work!,Data Engineer(Current Employee),,,"The best projects with the best people. Management is awesome, office culture is incredible. Very high turnover rate. Probably the worst interview process I have ever encountered.",4.0
917,Experis is one of my favorite contracting companies so far.,Web Developer II(Former Employee),"Happy hour, reasonable pay",short term employment,This is a contracting company. There is little interaction with them after the initial hire. They would take us to lunch or happy hour about once a month. I have had them contact me while working for other jobs way before my contract was up which showed some intercommunication issues. They have followed up with some job leads since leaving the company.,5.0
918,Working on some really cool products but can have long work hours,SDE Intern(Former Employee),,,Worked as an intern at Lab126. The assigned project was one of the most challenging one. Learnt a lot of new things but had to put in the hours.,4.0
919,No backlash for terrible managers,Software Development Engineer(Former Employee),"Corporate culture is good, smarter people than the typical company",Direct managers are often incompetent but still trusted implicitly,"Amazon has a fantastic set of core values that they adhere to better than most companies. Their consumer obsession has meant that they are growing at a geometric rate and that's really the problem. The front-line management is almost entirely made of developers who have no idea how to use basic management tools (Gantt charts, burndowns, etc...) and still fundamentally believe they are devs. That means when influences come from outside, the front-line management is unwilling to listen to them and blames any change in the team culture for their own failures. There seem to be no repercussion for this as there is a tacit assumption that understanding the corporate culture makes a person inherently right.The successful projects are lead by the veteran managers (5+ years as managers) and senior engineers, the failures are led by the recent converts (<2 years as managers). The biggest lesson is that Amazon isn't somehow special, the same politics and petty infighting still happens. Your happiness will be determined by the project you are on and the direct manager you work for; no one and nothing will prevent the same kind of drudgery at any other company.",2.0
920,Good ideals but falls short in the executionun,AWS Cloud Support Engineer(Current Employee),Smart people,Poorly run,"Amazon tries to be awesome but tends to get mired down in the paperwork.  Management is often entirely uninvolved in anything going on but likes to manage aggregate metrics.  Additionally, they will ask as much as they can from every individual for every hour of every day until you say no, then they will use shame techniques to make you do more.",3.0
922,Educational but not great for work-life balance,Product Management(Current Employee),,,"Pressure is high, work hours are long, and work-life balance doesn't exist.  However, your colleagues are bright, competitive and working on changing the world.  It is a good learning experience but not a place you can work forever.",3.0
923,A calm and peaceful work environment coupled with innovation,Quality Assurance Engineer(Former Employee),,,"Amazon/Lab126 was a unique place. While the office culture is more subdued than most tech companies (less nerf and more khakis), the company always was organized and well planned out. There is an opportunity for one to self-manage but my experience was some what short so I can not expand on other aspects.",4.0
924,too much work.,Senior Software Engineer(Current Employee),,,not as I was hoping for. process is broken. weak coordination between teams. too many dependencies,3.0
925,Productive but not much fun,Software Development Engineer Intern(Former Employee),good salary and nice relocation service,long hours and bad company culture,Standing up every weekday to show teammates what you did yesterday and what you are planning to do today.Learned how to use amazon system tools and some of AWS services.The hardest part of the job is the dive deep during your work. Try to solve problems by yourself without get assistance from others.The most enjoyable part of the job is to deploy your service onto pipeline.,4.0
926,The only thing that is constant at Amazon is change,Technical Operations Engineer II(Former Employee),,,"The money is great, but beware that they will make a lot of promises and then change what they said very quickly.",4.0
927,They ship quickly,App Developer(Former Employee),You get what you want from them,none,"You always get what you want from them, they are awesome. Working with them as an app developer was an awesome experience. I still do make some apps from time to time for them.",5.0
928,Productive and fun with a ping pong table,Software Development Engineering Intern(Former Employee),Large networking opportunaties,a lot of debugging,"It was fun. It was a great place to work. Silicon Valley is where you meet people. I learned a lot about Technical Business their early, mid, and final stages.",4.0
929,Amazon Internship,Software Developer Intern(Former Employee),,,"Best Job Experience Ever!! Working in Amazon is like being a student. Everyday, you get to learn something new. Being one of the BIG4 internet companies, Amazon is working on a huge number of Projects. Name any technology and Amazon is definitely working on it! People can easily find teams working on their favorite technologies and ask for an internal transfer. This is one of the few companies where internal transfer is highly encouraged.",5.0
930,"Promising technology, late to market","Senior DevOps Engineering Manager, Cloud Drive(Former Employee)","Aws, amazing & talented developers, centralized monitoring, great hiring process, accessible help from anywhere in the company.","Work life balance, expected long work hours, holiday ""game days"", short deadlines, culture of finger pointing on outages, lack of management support, anyone not trained in application development is stupid","Amazon is great place to work.  The development and monitoring tools available to all are simply amazing.    Being able to build to AWS and scale up and scale down-- a breath of fresh air.It's a good place... I think I'd just say you have to be under 30 YO.The worst part of Amazon is they are always looking for a villain and your manager (despite how nice he might seem) is ready to throw you under a bus.   After a big release (like a Kindle or Kindle Fire), you will either be recognized as ""great"" or ""causal"" to the success.  Worse, as a manager, you will be told how you should rate your team.1st Year Reviews are always the hardest because you realize if someone on your team was a ""rockstar"" that you really can't give more rewards than the ""average guy"" because of the current rate of stock options.   That was very hard to explain to employees.In trying to promote people, it's at least a year process... because you need to solicit the feedback from other folks who will set requirements.   If you are not on a development team, you won't advance as fast as if you were.",4.0
932,Cool company,Software Development Engineer II(Current Employee),,,"Worked there for 4 years, fun if you get on a good team. Others can work you to the bone.",4.0
933,Sweet and Sour,Software Engineer Intern(Former Employee),Incredibly smart people,Too much work,"My experience at amazon was very enjoyable, but very sour at the same time. My biggest issue with it was that there were times when, due to deadlines I had to meet, I would stay at the headquarters working until 2 AM. Sometimes I would go home early, but I would still work from home until 2 AM.How much time you work depends on what deadlines are coming up, and what time you are in. If you get an offer to come work for amazon, try to avoid ECPS and AWS!",4.0
934,Best learning experience ever with flexible working hours,Software Developer Engineer Intern(Former Employee),Flexible work timings,,"Working for Amazon was a great learning experience. It has a very good work culture with really helpful co-workers.I worked on multiple languages with absolutely no experience on a few of them, which was particularly the difficult part of the entire internship.",5.0
935,Best place to learn,Software Engineer(Current Employee),Knowledge,"Work life balance gets distirbued, on call rotation",I am indeed fortunate to work in Amazon. I learned a lot. I feel this is one of the best places to be in when you are new to industry. There is ample apportunities to learn and advance in career.,4.0
936,Good,Quality assurance engineer(Current Employee),,,Very good place to work. learn different - different types of inbuilt tools. Very helpful co-workers.,4.0
937,Casual work culture with talented minds working with complete freedom.,"Software Development Engineer, Intern(Former Employee)","Casual work environment, complete freedom to the engineers",Very Frugal,"Typical day at Amazon starts with a scrum meeting where team members discuss their status on the project. I learned a lot from my mentor and team members while interning at Amazon. Both, my mentor and manager, were extremely patient and helpful throughout my internship. The hardest part of the job for me was the designing phase and the most enjoyable part was the implementation phase.",4.0
938,Innovative and exciting place to work,Sr. Product Management Intern(Former Employee),,,Amazon is working on disrupting the market across many different fronts and its a very exciting place to work right now.,5.0
940,Innovative Place to Work,QA/QC Field Engineer(Former Employee),,,"A typical day was to travel to multiple sites and review the progress of commissioning at each site. Some were sites I worked with external teams on, others were sites I myself commissioned. The role helped me expand on the project management skills I had learned previously from my other roles and employment elsewhere. I will decline comment on management. The co workers were very good and enthusiastic about our work and placed their best efforts in daily. I worked closely with many of them. Hardest part of the job seemed to be keeping up with the extremely fast growth pace while meeting the demands of the business with a severe lack of time to commission. Most enjoyable part of the job was solving problems and identifying better ways forward in newer designs (engineering).",3.0
941,Best to place to work EVER,Customer support/tech(Former Employee),,,The training is very through you have help every step of the way and the customers are great to work with!,5.0
943,Great Benefits - and ability for career advancement,Support Engineer ,,,"Amazon is world re-known for innovation. If you want to work in an environment that is constantly breaking new ground, this is the place to work for. Management depends on individual management abilities. Work life balance is dependent on if your team is part of an organization trying to gain market share.",4.0
944,Overall Good Place to Work,IT Technical Lead(Current Employee),Lots of tech,Lots of travel,Amazon is a very demanding place to work however the benefit to the employee is great as far as tech goes. It's a very challenging place with a very fast pace. The major benefit is that you are exposed to all kinds of technology and systems that you are unlikely to see anywhere else. You are forced to learn very quickly or you will simply sink. Management is generally good although there are a few specific examples which are undesirable.,4.0
945,a good company for new graduates,Software Development Engineer in Test II(Current Employee),good technical environment,"sometimes, random process",people here have petty good technical skills. New graduates can learn quite a lot from the company,3.0
946,company that one should never work for,Software Development Engineer(Former Employee),Mentioned in review portion,Mentioned in review portion,"Pros:First few months are good where you'll learn a lot of things.Cons:Stack ranking - yes it is therePoor management without any visibilityCan't believe in what your manager expectsAbsence of peace of,mind",1.0
947,Learn a lot but no Work life balance,Senior Product Manager Intern(Former Employee),"Brand, experience","Long work hours, career progress within the company is slow",Amazon is a great place to work for Career advancement. You get to work with really smart people and you are given autonomy and ownership of your work. The flip side is that everyone works a lot of hours and do not really have a work life balance. People tend to burn out within a couple of years and move on to other opportunities.,3.0
948,Challenging responsibilities,Programmer/Analyst(Current Employee),,,Amazon has given me challenging responsibilities and that encouraged me to out-of-box.,4.0
949,Exciting work and great learning experience,"Sr. Product Manager, Kindle Content(Current Employee)",,,Exciting work and great learning experience. Lots of freedom to think independently and execute. Visibility to higher management,4.0
950,Productive and team oriented,Quality Assurance & Inventory Specialist(Current Employee),,,"Team oriented.Daily rates and quotas to exceed.The quality and inventory department is the heartbeat of production and manufacturing, we work with other departments to ensure quality standards are met daily and consistantly.",4.0
951,Fairly Relaxed and honest workplace,Quality Assurance Specialist(Former Employee),"Free Food, relaxed working environment.","Disorganized management, no accountability for structure within customer care.","Everyday, I was greeted by the nicest people that I've ever had the pleasure of working with. The people who answer the phones, and write the emails are genuinely as professional and caring as their emails would suggest.Unfortunately, I learned that management does not want people to move from being off of the phone, and are more concerned with the metrics of the call center than the ever plummeting morale of the employees.The hardest part of the job was conforming to a ""disagree but commit"" policy that left no room for actual disagreement.The most enjoyable part of the job was delving into the psychology of great customer service with my fellow Quality Assurance Specialists.",4.0
952,No work life balance - tons of stress,Software Development Engineer(Current Employee),Good Pay,"High pressure, no work-life balance, poor treatment of developers",This was a pressure cooker of a job for me.I was asked for ETAs on things I knew little about daily and had to provide a 100% sure answer with absolutely never seeing any of the code I was supposed to work.They use no carrots here.  It's all sticks.And when you do a great job and get 10 miracles done in 2 day they will throw 10 more insane tasks at you to get done in 2 or 3 days.Because everyone is so over tasked it's extremely hard to get others time for background help.I would only say that the pay was good and there are really smart people there.But the turn-over is the worst I've ever seen.  I've been there 6 months and 6 people have left and gone in my group.  4 have come and left in that very short period of time.  And most were good workers that just didn't want the level of stress.I consider myself extremely driven and this place was too much for me.  My health is more important than a few extra bucks.Run from this place despite the enticement of money.  They clearly put NO value in there employees.There's nice people to work with... those are the miserable ones generally...  and there's complete ruthless task masters.I had 3 managers for just me... one developer.  Usually it's the other way around and you will have 3 developers for one manager.  But for me it was reversed.  Just bad management if you ask me.I finally pushed back to get more developers and they got an intern.So little investment in developers in my opinion.You will quickly go from 40 to 45 to 50 hours in no time.  You can probably get by with 50 hours-more...,2.0
953,Great place to learn and advance your career.,Software Development Engineer(Current Employee),,,"AWS is absolutely fantastic place to learn more about technology. It is slightly demanding and your work life balance may not be the greatest, but it rewards handsomely, esp if you are willing to adapt to new technologies fast.",4.0
954,Seasonal Work,Kindle Tech Support specialist where i(Former Employee),,,"I enjoyed working for amazon for the simple fact I got to combine 2 things that I enjoyed very well, Helping people and Talking to people this was a great job fit for me however it was a seasonal position",5.0
955,Good for customers,Senior Product Manager(Current Employee),,,"At Amazon, one can have huge impact on the products and have high visibility overall. If you are crazy about work and just work then it is a good company for you. The co workers here are smart but the culture is individualistic",3.0
956,Productive environment and potential for growth,Sr. Product Manager Intern(Former Employee),,,Amazon is a respectable company. I am honored to spend my summer with so many talented and motivated people.,5.0
957,Productive and fun work place,SDET (Front,,,A great place to work especially for Java developers and any one around open source who would like to work in a creative environment where there is a chance to create your own tools and applications.,5.0
958,We really do have a ping pong table :-),Tier 3 IT Tech Support(Current Employee),Benefits; Work at my own pace.,Repetitive; No advancement.,"Amazon is my first IT job. I have learned a lot within the past 2 years with this company. A typical work day for me involves coming into work and checking the ticket queue for any unassigned (newly arrived) tickets then seeing what my co-workers are handing off from the shift before. After this, I start working on my daily task such as performing daily RF scanner audits, MDF security checks, check for any needed RMA items, clean collate printers, and walking around to see if there is anything needed on the production floor.My co-workers are very helpful, we are a great team. The most enjoyable part of my job is the feeling I get when I run accross a new issue that I have never dealt with before and the feeling I get when I fix the issue.",3.0
959,"Fun place to work , self motivated, lots of opportunities for growth",Data Center Engineer(Former Employee),,,"Typical day at work :•	Supporting team of Electrical Engineers and Mechanical Engineers responsible for safe and reliable data center operation.•	Perform and supervise preventive maintenance and calibration of data center equipment and systems.•	Schedule and supervise HVAC, generator, and electrical systems maintenance.•	Upgrade and utilize Data Center HVAC system to meet requirements.•	Operating and monitoring data center critical functions in order to meet Service Level.•	Responding to emergency alarms and dispatching help.•	Monitoring alarms from BMS, PRITCHETT and POWERLOGIC control systems.•	Handling any issues related to Building Management System (BMS), Data Center AHU, CRAC units and Chillers.",5.0
960,"Work hard, have fun, make history!",Software Development Engineer Intern(Former Employee),,,"The work hours are flexible. I was a software developer at Amazon. It's really fun to work here. There are no fixed working hours, people are very helpful. There is no management oversight at all. The hardest part of the job is strict deadlines.",5.0
961,Fun place to work with smart people around but they are tough to work with.,product manager(Current Employee),,,People are tough to work with. Might end up doing something totally different than what was promised before interview.,3.0
962,Amazon Culture,Product Manager(Current Employee),,,It's everything people say it is.  Terrible.There is a reason why the average tenure is 1.1 years.,2.0
964,Good company,Software Development Engineer(Former Employee),,,Amazon is good place to work. I had interesting projects. People were nice.,4.0
965,Great Opportunity to start a career and for advancement,Data Center Operations Engineer(Current Employee),,,I cannot talk to much about my job here but I will say that they are a motivated company with much potential and many things still to accomplish.,4.0
966,Challenging environment with lots of opportunity,Sr. Product Manager ,,,"Amazon can be a challenging place to work. It has a 100 mph culture and the expectations on employees is very high. However, there are great opportunities to work with some of the brightest and most talented people in the industry and on innovative projects. Few people last more than a couple/few years here, but most move on to bigger and better things because of the experience Amazon provided.",3.0
967,Review for Amazon,Software Development Engineer(Former Employee),,,Awesome people to work with. I learned a lot about c++/java/software design there.,5.0
968,great company,Software Developer Engineer Intern(Former Employee),,,"great company, great people, very smart, high-impact work, great work benefits, the list goes on",5.0
969,"Wheels fell off of Amazon long ago, but the momentum keeps it moving",Software Development Consultant(Former Employee),Creative company. Growing so fast that there's always more to be done.,"Managers often take their ""frugality"" philiosophy to mean ""stingy"". Also, not a good place for people who prefer structure or stability.","I had a very bad experience as a software developer in the supply chain department. Almost non-existent management, and the developers had too much power. I don't know anyone who loves working at Amazon, but most people I know had a better experience than me.",3.0
970,Good learning experience lot of work,Software Engineer(Current Employee),,,"Good learning experience lot of work, helped increase work quality, efficiency. good work culture. Taught professionalism",3.0
971,"Positive, open floor environment. Interaction between Test, Devs, PMs is fluid and easy.",QA Engineer(Former Employee),,,"Positive, open floor environment. Interaction between Test, Devs, PMs is fluid and easy.Small company stile, in big company.",5.0
972,Not a bad place to work,IT Tech Support(Current Employee),"stable work environment, excellent resources, great co-workers.","management turnover, attendance point system.","All in all working for Amazon.com is an experience. To be honest, this is a review of working in a fulfillment center, much different than working for the corporation itself. Management at my site had a very high turnover rate, so there was not a lot of stability there, although the site itself is very stable. I have very many great co-workers that I enjoy working with. Typically my day consists of troubleshooting computer issues, mainly Windows issues but sometimes hardware based, and fixing printer problems. We use a ticketing system here which tracks all of our issues and time. Most enjoyable part of working here is fixing computers and solving Windows issues, as well as building and working with servers. Least enjoyable would probably be the attendance point system utilized.",4.0
973,Dynamic and exciting workplace,Product Manager Intern(Former Employee),,,Innovative workplace with challenging business problems. Work involves cross functional teams,4.0
974,A nice place to start at straight from Uni,Senior Software Development Engineer(Current Employee),"pays well, especially hiring bonuses, smart people, high incidence of adrenaline junkies which shapes the culture.","employees as components attitude is common. if employee does match desired specification, discard and get a new one.","Major turnover rate, peer review policy plus discarding bottom of the bell curve every year makes it a good place to pick up experience but not a long term employment option.",2.0
975,Fun and challenging place to work on cutting-edge technology,Developer Support Engineer(Current Employee),"training, cutting-edge technology, quickly gain experience, work from home",can be stressful,"This is a fast-paced culture. There are ample opportunities constantly to contribute both within and beyond your job description. There is management and mentoring, but you are also expected to take initiative, be creative, push yourself and be self-reliant.The atmosphere is enjoyable. You can bring your dog to work, play ping-pong, video games.",5.0
977,Big company and a place to learn a lot,Software Development Engineer Intern(Former Employee),good software development practice.,recruiters does not care about your area of interest nor how well you fit into a particular group,"Many teams have agile scrum process, which is good in a way to make your day productive.You can learn a lot about how industry works and the best software development practice",4.0
978,A place to get work done,Software Development Engineer(Current Employee),,,"Typical day in average:10% design , 60% coding and testing, 30% operationI learnt large scale distribute system and big data processing.The hardest part is the complicated business logic.",3.0
979,Not the worst place to be a contractor,Digital Video Production Developer(Current Employee),"not micromanaged, work life balance (for contractors), flexible schedule","no feedback from mgmt, constantly changing projects, competitive atmosphere","Working at Amazon has been an okay experience. I have been with the company as an entry level contractor for the past 3.5 months thus far. As a contractor, you of course, get no benefits. But it would be extremely helpful if they provided a bus pass or parking since it is very expensive to park in the Seattle metropolitan area. The atmosphere you get as a contractor is very competitive and management definitely has favorites, thus there is a lot of politics. However, there is hardly any micromanagement, which leaves a lot of flexibility with scheduling and without the feeling of someone always looking over your shoulder. Advancement is pretty challenging as a contractor since they generally hire you with the intent for you as a temp - nothing more. This makes its hard to go into the company and then move up the corporate ladder. As contractor, your work life balance is pretty good. You get your 8 hours in and you're out. They don't want to pay OT, so they make it so you have to get approval if you want OT. This is great for work life balance. But as a permanent employee, this is absolutely the opposite.",3.0
981,Working as a Software development engineer for Customer Reviews,Software Development Engineer(Current Employee),,,Working on creating/maintaining Customer Reviews API and enhancing frontend behavior.,5.0
982,Hardworking enviroment,Software Test Engineer(Former Employee),break at any time,,Very busy and high pace working environment.Every body is busy doing own thing and that way not so all the way open to new people.Busy and day goes fast.Tons of work for every day.Good team mates.,4.0
983,Great place for geeks to work!,Software Development Engineer(Former Employee),"great technology and training available, comfortable work environment",,"Amazon was a terrific place to work. The work environment was casual and comfortable and managers were very accessible. The technology was excellent and learning new skills was encouraged and supported.People did work hard, but there was also time for social activities and ""hanging"" with your co-workers.Amazon is a place that really walks the walk. They maintain their focus on customer service. It's not just lip service, they really do stress the importance of the customers, both the buying customers and the third-party sellers who use their platform.This is one place I'd be quite pleased to work any time. I look forward to their opening a new office here on the East Coast so I have an opportunity to work for them again.",5.0
985,Experienced Web Analytics Manager,Product Manager for Web Analytics(Former Employee),,,"Manage the Web Analytic Tools, Guide Feature Development, Interact with customers via focus group, survey, UI testing etc.",4.0
986,"Work hard, make history","Manager, Software Development(Current Employee)",,,Best people I worked with. Fun projects. Large impact to customers.,4.0
987,"High salaries, much churn too","Software Development Engineer, Item Data(Former Employee)",churn,compensation,"If you love to spend lots of time developing software or fix legacy systems, it's a great place to work. People are energetic and deal with cutting edge technology. However, lots of churn -- software gets obsolete very quickly.",4.0
988,Great place to work,Quality Assurance Engineer(Current Employee),,,work-life balance is goodProfessional environmentGood compensation,4.0
989,Great Place to Start your career in e commerce,Senior Product Manager (Intern)(Former Employee),,,"Excellent Management, difficult to fit in, great pay, management has high expectation of MBA grads",4.0
990,"Work with, and learn from, some of the smartest people.",Sr. Data Scientist(Current Employee),"Compensation, co-workers, ability to learn","Work-life balance (team-dependent), highly competitive","Amazon is what you make of it. Everyone is given a chance to express their thoughts and no matter what level you are you can enact change. Just know that you may need to work very hard in order to enact that change and will need to endlessly defend your position. While sometimes frustrating, this leads to an overall better outcome in the end.",4.0
991,3 day work week,Analyst(Former Employee),"Free lunch often, some managers are helpful for career opportunities",Promotion process,Not a horrible place to work. Poor communication (it’s always day one at Amazon). Manger was helpful in interview prep for promotion. Down side Amazon pays internal promotions was less then external hires,2.0
992,A good place to work,Analyst(Former Employee),A fair wage for a fair job,Very little opportunity for advancement.,"Enjoyed working at Amazon.  Everyone is fun to work with.  The few disgruntled folks left on their own, not because they were fired for poor work performance.  Overall, I recommend the company",4.0
993,Don't work here if you don't have to,Data Scientist(Current Employee),The eternal hope that if you are lucky your manager will PIP you,"Racism, sexism, union busting, retaliation, backstabbing, plagiarism, gaslighting","The toxic culture is well documented in the news in both corporate and FC roles. You can only succeed if you only look out for yourself, which makes Amazon a lonely place to work.",1.0
994,Fun place to work if you like offices,Video Analyst(Former Employee),"Vending, nearby food, excellent pay",Terrible hours,Loved working here tenps were thought of as expendable but overall nice place to work. Although they do have issues with people flirting with eachother during work.,5.0
995,Good experience,Analyst(Former Employee),,,"When I first started the company (remotely), the training was not good, and it was very hard to get questions answered. The only time I would get some of my questions answered was when they would contact me what I did wrong.",5.0
996,"Once you're in a bad spot, you can't get out of it",Analyst(Former Employee),,,"Started here in the corporate side and thought I was doing very well. I was making great strides in my org, and provided many tools and process improvements. That is, until one day management decided I have never done anything worthy to them and started a process to get me out of Amazon. Apparently that's the goal of Amazon, and even my manager would say so to me. This place starts out great and has a great overall culture, but don't expect to be treated well at the end of your time here.",3.0
997,Decent,Analyst(Current Employee),,,"Maybe because the company recruits C listers who have neither merit (intelligence, strategic vision) nor pedigree (academic or professional accomplishments), most of those who become successful do so in treacherous, low cunning ways.Imagine the Lannisters in Game of Thrones attacking the Starks in Game of Thrones; or Rawls and Burrell attacking McNulty and Daniels in The Wire; or Barrow and O'Brien attacking Mr Bates in Downton Abbey. This is every day leadership behavior at Amazon. The culture at Amazon is so infested with these middling talent weasels who have juked the stats and schemed their way to positions of power that new employees coming in actually start thinking that this behavior is normal and expected if you want to ""manage people.""The work itself was stimulating and fulfilling, but the sneering condescension of the d bags that cheated and skated their way through high school and party colleges, then just converted their winky nod nod good 'ol boy shenanigans into a ""ask no questions, have no introspection"" company culture have made manifest some of the worst criticisms of capitalism. Any left leaning political aspirant would look at this business organism and immediately have content to lash out against the corruption that can come in free enterprise where hard work is not rewarded, and the connected, incestuous, privileged class lounge their way to wealth while treating their employees and customers like some kind of filth their shoe picked up on the street.",3.0
998,"Productive, but not very collaborative work experience.",Data Scientist(Former Employee),,,"One will learn a lot. Keep growing at a rapid pace. It depends on which group you are working for. You might need to work more efficiently, which is good.",3.0
999,Organized Chaos,Analyst(Former Employee),"Structured & Clear Expectations, Celebrate ""Wins"" (recognition dinner's, gift cards, etc..)","KEY Information does not flow freely enough to always be effective, Ol' boy network takes away from other good stuff","Good Place to learn ALOT.  Fast paced, measurement driven environment with a heavy emphasis towards customers satisfaction to build brand loyalty.  Your employee performance evaluation / value as an employee is HEAVILY weighted by ""like-ability"".  Similar to many organization's if you are ""liked"" you gain access to information which allows your performance to be deemed effective.  Effective performers in this organization are compensated well and rewarded with MORE opportunities to continue to pursue the career path's that suit the best interests of the company and the individual. Front line (customer facing) role in the organization are ""highly hierarchical"" in nature are tightly run via ""chain of command"" protocol.  ""No entrepreneurial spirit here""... Get it Done or Get GONE! The good news is that this is CLEAR from day 1 so its about one's perspective and ability to work in dynamic work environments where management can be HEAVY & Hand's off @ the same time.  The atmosphere is team driven and can be fun. Again a good place to DO and LEARN ALOT...",4.0
1000,Overall good place,Solutions Analyst(Current Employee),,,"I have been working for less than a year..Challenging, rewarding, outstanding co-workers, best job I've ever worked. Growing at hyper speed, rapidly changing, quite a bit to learn.",4.0
1001,Great Experience and had done many initiative.,Sr. Workday Analyst(Current Employee),,,"•Knowledge of Software Development Life Cycle (SDLC) Phases such as Requirement analysis, Design, Development, Testing and Deployment with working knowledge in software development methodologies like Rational Unified Process (RUP), Agile, Waterfall across the span of various projects.•Expertise in Implementation of Workday HCM implementation including Benefits, Payroll, Compensation Management, Absence and Time Off, Time Tracking and Recruiting /Talent Management, migration of PeopleSoft HRMS•Strong Experience with Workday Report Writer - Custom Reporting (Calculated Fields, Advanced, Standard Reports) And proficient in building HRMS modules like Talent, Time Tracking, Benefits, Compensation and Payroll in Workday.•Experienced in configuring Compensation framework, providing support and guidance to a geographically distributed workforce and/or HR Business Community to meet customer requirements and Strong document transformation skills and expertise in SQL, XML, XSLT, HTML, BIRT and other Web Services technologies•Worked on the Object Management Systems like Role Based Security, User Based Security, Job Based Security Groups And have experience in creating the Functional and Technical Design Mapping Template for the Workday I Loads and Solutions for data migrations.",5.0
1002,Interesting project,Data Science Intern(Former Employee),,,"I'm a data scientist intern.The project is fun, and teammates are approachable. Great learning experience and program.My team is business-oriented.",4.0
1003,Growth and Maturity,Solutions Integration Analyst(Former Employee),,,"The firm taught me to see my professional and personal life with a more well rounded and mature perspective. Challenging and insightful, you get what you put in.",5.0
1004,Could be better if opportunity is within,Analyst(Former Employee),,,Management promise but dont deliver and cross training is not something which they dont encourage. Overall could be better for productivity because that's what they what. More paid for the hourly rate 10 hours is a lot. The time working was not a happy time. They said have fun I disagreed. Work hard!!!,2.0
1005,Productive and fun work place,Data Scientist / Amazon(Current Employee),,,It's a great company to work in. Peers are supportive and never hesitate in helping you. They use latest tools and technology which helped me to thrive in the company.,5.0
1006,Great place to work with innovative people,Senior Transaction Analyst(Former Employee),,,Intense yet rewarding. You learn a lot working at Amazon. Things change constantly so you are expected to adapt. Lots of room to grow since the company is expanding the world over.,5.0
1007,Productive Learning Environment,Analyst(Current Employee),,,Very helpful management team and great work environment. Leadership is very supportive of ensuring work life is in harmony. The team wants to make sure you are happy with your time at work and at home.,4.0
1008,More of the same : horrible,Analyst(Current Employee),,,"No direction in my team, loose-talk about customer obsession but no flexibility to do any work that is not in line with few hidden puppet masters in org.Horrible work hours, horrible pressure",1.0
1009,Sell your soul to Amazon,Transportation Analyst(Former Employee),always have work,no work life balance,If you want to make money work at Amazon for the low cost of your soul.They are very customer obsessed. That comes at a high cost to the employees.,3.0
